output,fattore,mu,mu_star,sigma,n_ee
E[Hydrogen fuel cell]@100nmi_300kt_propeller,calibration_block,-4.081840855592071,4.3810431877692855,5.4432030171009576,20
E[Hydrogen fuel cell]@1500nmi_250kt_propeller,e_battery_Wh_per_kg,0.0,0.0,0.0,20
E[Hydrogen fuel cell]@1500nmi_250kt_propeller,fuel_cell_specific_power_kW_per_kg,-2.9381308051946595,2.9381308051946595,4.689176679035987,20
E[Hydrogen fuel cell]@1500nmi_250kt_propeller,eta_fuel_cell,-2.56796534479655,2.56796534479655,0.9217527898942379,20
E[Hydrogen fuel cell]@1500nmi_250kt_propeller,gamma_tank,-0.7906074197462303,0.7906074197462303,0.667233162948466,20
E[Hydrogen fuel cell]@1500nmi_250kt_propeller,electricity,0.0,0.0,0.0,20
E[Hydrogen fuel cell]@1500nmi_250kt_propeller,liquid_hydrogen,-0.44719177956118517,0.44719177956118517,0.24732822557406375,20
E[Hydrogen fuel cell]@1500nmi_250kt_propeller,e_saf,0.0,0.0,0.0,20
E[Hydrogen fuel cell]@1500nmi_250kt_propeller,eta_motor,-1.6398768477688717,1.6398768477688717,1.0824464350686451,20
E[Hydrogen fuel cell]@1500nmi_250kt_propeller,eta_p_propeller,-0.7742993820532097,0.7742993820532097,0.5180256454376329,20
E[Hydrogen fuel cell]@1500nmi_250kt_propeller,eta_p_fan,0.0,0.0,0.0,20
E[Hydrogen fuel cell]@1500nmi_250kt_propeller,oew_fan_b,0.34386323104615774,0.46470639756552423,0.40160511246489794,20
E[Hydrogen fuel cell]@1500nmi_250kt_propeller,oew_fan_r_pivot,1.9676767355820537,1.9676767355820537,3.759760684664778,20
E[Hydrogen fuel cell]@1500nmi_250kt_propeller,oew_prop_b,-0.2111728070780144,0.2111728070780144,0.27988088485131274,20
E[Hydrogen fuel cell]@1500nmi_250kt_propeller,oew_prop_r_pivot,0.08392613658379224,0.08392613658379224,0.1740504780689228,20
E[Hydrogen fuel cell]@1500nmi_250kt_propeller,calibration_block,-0.22214109332590706,0.37218871947833804,0.421547673451377,20
E[Hydrogen fuel cell]@6000nmi_250kt_propeller,e_battery_Wh_per_kg,0.0,0.0,0.0,18
