output,fattore,mu,mu_star,sigma,n_ee,scala,mu_star_n,sigma_n,distanza,soglia,selezionato
E[Hydrogen combustion]@100nmi_350kt_fan,electricity,0.0,0.0,0.0,20,1.5174278740486589,0.0,0.0,0.0,0.10318367115713273,False
E[Hydrogen combustion]@100nmi_350kt_fan,e_saf,0.0,0.0,0.0,20,1.5174278740486589,0.0,0.0,0.0,0.10318367115713273,False
E[Hydrogen combustion]@100nmi_350kt_fan,eta_motor,0.0,0.0,0.0,20,1.5174278740486589,0.0,0.0,0.0,0.10318367115713273,False
E[Hydrogen combustion]@100nmi_350kt_fan,eta_p_propeller,0.0,0.0,0.0,20,1.5174278740486589,0.0,0.0,0.0,0.10318367115713273,False
E[Hydrogen combustion]@100nmi_350kt_fan,eta_p_fan,0.0,0.0,0.0,20,1.5174278740486589,0.0,0.0,0.0,0.10318367115713273,False
E[Hydrogen combustion]@100nmi_350kt_fan,oew_prop_b,0.0,0.0,0.0,20,1.5174278740486589,0.0,0.0,0.0,0.10318367115713273,False
E[Hydrogen combustion]@100nmi_350kt_fan,oew_prop_r_pivot,0.0,0.0,0.0,20,1.5174278740486589,0.0,0.0,0.0,0.10318367115713273,False
E[Hydrogen combustion]@100nmi_450kt_fan,oew_fan_b,1.3589627008806278,1.3589627008806278,0.3456898071675678,20,1.3589627008806278,1.0,0.2543777006856448,1.0318468949442623,0.10318468949442623,True
E[Hydrogen combustion]@100nmi_450kt_fan,oew_fan_r_pivot,0.6653005842157035,0.6653005842157035,0.34629840775635196,20,1.3589627008806278,0.48956500703409955,0.2548255426966064,0.5519148062182404,0.10318468949442623,True
E[Hydrogen combustion]@100nmi_450kt_fan,liquid_hydrogen,-0.4386958244296178,0.4386958244296178,0.14404774392241895,20,1.3589627008806278,0.32281667785682155,0.10599830578799102,0.33977381937465306,0.10318468949442623,True
E[Hydrogen combustion]@100nmi_450kt_fan,calibration_block,0.10491329445965573,0.13540335276703633,0.1673418814111928,20,1.3589627008806278,0.09963728414274577,0.12313942193023605,0.15840109098315883,0.10318468949442623,True
E[Hydrogen combustion]@100nmi_450kt_fan,gamma_tank,-0.14909498008399696,0.14909498008399696,0.050619751245093665,20,1.3589627008806278,0.10971234161716228,0.03724881574180905,0.1158631614331672,0.10318468949442623,True
E[Hydrogen combustion]@100nmi_450kt_fan,e_battery_Wh_per_kg,0.0,0.0,0.0,20,1.3589627008806278,0.0,0.0,0.0,0.10318468949442623,False
