range_nmi,speed_kt,P
35.11191734215131,237.43589743589743,0.026
41.08056080177274,237.43589743589743,0.0033333333333333335
48.06380863064389,237.43589743589743,0.0006666666666666666
56.23413251903491,237.43589743589743,0.0
65.79332246575679,237.43589743589743,0.0
76.9774705712371,237.43589743589743,0.0
90.06280202112787,237.43589743589743,0.0
105.37249727360725,237.43589743589743,0.0
123.28467394420659,237.43589743589743,0.0
144.24172552410664,237.43589743589743,0.0
168.7612475788147,237.43589743589743,0.0
197.44882128159367,237.43589743589743,0.0
231.0129700083158,237.43589743589743,0.0
270.28265839051625,237.43589743589743,0.0
316.22776601683796,237.43589743589743,0.0
369.9830414406966,237.43589743589743,0.0
432.8761281083057,237.43589743589743,0.0
506.4603543891704,237.43589743589743,0.0
592.5530975545674,237.43589743589743,0.0
693.2806692144524,237.43589743589743,0.0
811.1308307896873,237.43589743589743,0.0
949.0142360424725,237.43589743589743,0.0
1110.336318167638,237.43589743589743,0.0
1299.0813969063468,237.43589743589743,0.0
1519.9110829529332,237.43589743589743,0.0
1778.2794100389228,237.43589743589743,0.0
2080.5675382171694,237.43589743589743,0.0
2434.2413552369194,237.43589743589743,0.0
2848.035868435799,237.43589743589743,0.0
3332.1709412448167,237.43589743589743,0.0
3898.603702549072,237.43589743589743,0.0
4561.323862890211,237.43589743589743,0.0
5336.699231206308,237.43589743589743,0.0
6243.879965653626,237.43589743589743,0.0
7305.271542664449,237.43589743589743,0.0
8547.08812559251,237.43589743589743,0.0
10000.0,237.43589743589743,0.0
10.0,245.64102564102564,0.418
11.69989106589066,245.64102564102564,0.37266666666666665
13.688745095370805,245.64102564102564,0.31066666666666665
16.015682644458355,245.64102564102564,0.25333333333333335
18.73817422860384,245.64102564102564,0.19133333333333333
21.923459724834466,245.64102564102564,0.12733333333333333
25.650209056800456,245.64102564102564,0.07866666666666666
30.010465178188735,245.64102564102564,0.04133333333333333
35.11191734215131,245.64102564102564,0.012666666666666666
41.08056080177274,245.64102564102564,0.0013333333333333333
48.06380863064389,245.64102564102564,0.0
56.23413251903491,245.64102564102564,0.0
65.79332246575679,245.64102564102564,0.0
76.9774705712371,245.64102564102564,0.0
90.06280202112787,245.64102564102564,0.0
105.37249727360725,245.64102564102564,0.0
123.28467394420659,245.64102564102564,0.0
144.24172552410664,245.64102564102564,0.0
168.7612475788147,245.64102564102564,0.0
197.44882128159367,245.64102564102564,0.0
231.0129700083158,245.64102564102564,0.0
270.28265839051625,245.64102564102564,0.0
316.22776601683796,245.64102564102564,0.0
369.9830414406966,245.64102564102564,0.0
432.8761281083057,245.64102564102564,0.0
506.4603543891704,245.64102564102564,0.0
592.5530975545674,245.64102564102564,0.0
