sample_idx,cost,theta_pax_weight_kg,theta_fan_pressure_ratio,theta_fan_scaling_mach_ref,theta_propeller_curve_peak_mach,theta_propeller_curve_rise_rate,theta_propeller_curve_decay_width
119,2.6107460850160313,100.48213099602174,1.4913070848041567,0.8134886152631731,0.5121158645920154,7.514296630765523,0.07800726579472042
120,1.5389236962547053,96.20962671420529,1.3273095939562427,0.8116101015532207,0.4749542227151366,18.207239257735065,0.022803426970021638
121,4.003451860865834,102.54043650688907,1.4668716798843233,0.8025013821554426,0.57719407480605,5.675314977023029,0.03535121004619895
122,1.2098950555133485,78.03380757285255,1.3182608474030855,0.8106881522632019,0.5335887055038608,5.5235184936955095,0.05045350736850024
123,2.287403588392368,98.78045199404582,1.4009304479734892,0.8299430979669835,0.5469965136790375,8.116030977380163,0.038418801936451086
124,2.080060097409567,81.11389677919297,1.369300324166411,0.8451292782689984,0.5565731444211756,5.117228045854815,0.046140451218789486
125,4.385774808548246,100.66425814577883,1.3607056845912404,0.8327536984659135,0.468962310639841,5.34179502198817,0.06898551448294864
126,2.041463278748963,103.63959052837718,1.3107668529147969,0.7971238598798571,0.5214623228537856,14.950516308863657,0.053335071130660036
127,2.124875935643774,95.136024945845,1.4583270202502692,0.8427319711119513,0.53178278378538,17.283365460166674,0.04962252472455528
128,0.9830714835600626,82.3686760432942,1.4140950784221311,0.790399930189271,0.5391210666771774,13.160966363503652,0.05152558259710431
129,1.2282686610863052,88.80122291139197,1.465844824283686,0.7882207292334308,0.4586097891137228,9.558332378277045,0.03292903275309736
130,1.3536396855925323,90.21493896686394,1.4193497022565416,0.8145944906473344,0.5871114073656679,12.571594042174333,0.06993574614604577
131,2.259900396718213,100.18217778385282,1.5197412045167713,0.8176499820700066,0.45970052239091247,12.902035632447422,0.046727810856650794
132,1.3856147157860905,90.71374938773702,1.361233550440144,0.7860709837655551,0.537039416384637,7.768682922266825,0.0562135444912929
