output,fattore,S1,S1_lo,S1_hi,ST,ST_lo,ST_hi,interazione,n_valid,frazione_valida,N,trasformazione
E[Hydrogen fuel cell]@6000nmi_250kt_propeller,eta_motor,0.060959203266708534,,,0.04261325856956566,,,-0.018345944697142874,64,1.0,64,log
E[Hydrogen fuel cell]@6000nmi_250kt_propeller,calibration_block,0.04695369902887272,,,0.010939297352249997,,,-0.03601440167662272,64,1.0,64,log
E[Hydrogen fuel cell]@6000nmi_250kt_propeller,e_battery_Wh_per_kg,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen fuel cell]@6000nmi_250kt_propeller,fuel_cell_specific_power_kW_per_kg,0.015834515226202963,,,0.0692086300821302,,,0.05337411485592723,64,1.0,64,log
E[Hydrogen fuel cell]@6000nmi_250kt_propeller,eta_fuel_cell,0.10084108653592849,,,0.22786052458969347,,,0.12701943805376498,64,1.0,64,log
E[Hydrogen fuel cell]@6000nmi_250kt_propeller,liquid_hydrogen,0.017976997567138837,,,0.002859699615880133,,,-0.015117297951258704,64,1.0,64,log
E[Hydrogen fuel cell]@6000nmi_250kt_propeller,e_saf,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen fuel cell]@6000nmi_250kt_propeller,gamma_tank,-0.007579537263332497,,,0.03182437298178897,,,0.03940391024512147,64,1.0,64,log
E[Hydrogen fuel cell]@6000nmi_250kt_propeller,resto,-0.010970003306001784,,,0.012291414097927993,,,0.023261417403929778,64,1.0,64,log
E[Hydrogen fuel cell]@100nmi_350kt_fan,oew_fan_b,0.20153508900176573,,,0.12384789040136655,,,-0.07768719860039917,64,1.0,64,log
E[Hydrogen fuel cell]@100nmi_350kt_fan,oew_fan_r_pivot,0.05854226818950405,,,0.036038056811561484,,,-0.02250421137794257,64,1.0,64,log
E[Hydrogen fuel cell]@100nmi_350kt_fan,eta_motor,0.07838760699678976,,,0.05405562032190474,,,-0.024331986674885023,64,1.0,64,log
E[Hydrogen fuel cell]@100nmi_350kt_fan,calibration_block,0.005684786494987189,,,0.00048783248156251946,,,-0.0051969540134246695,64,1.0,64,log
E[Hydrogen fuel cell]@100nmi_350kt_fan,e_battery_Wh_per_kg,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen fuel cell]@100nmi_350kt_fan,fuel_cell_specific_power_kW_per_kg,0.5480731531403477,,,0.600055555152989,,,0.05198240201264137,64,1.0,64,log
E[Hydrogen fuel cell]@100nmi_350kt_fan,eta_fuel_cell,0.025935760463724592,,,0.0655075453758552,,,0.039571784912130606,64,1.0,64,log
E[Hydrogen fuel cell]@100nmi_350kt_fan,liquid_hydrogen,0.006487111898165099,,,0.0012227666291935802,,,-0.005264345268971519,64,1.0,64,log
E[Hydrogen fuel cell]@100nmi_350kt_fan,e_saf,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen fuel cell]@100nmi_350kt_fan,gamma_tank,-0.0009506040288750668,,,0.0015258704719634281,,,0.002476474500838495,64,1.0,64,log
E[Hydrogen fuel cell]@100nmi_350kt_fan,resto,-0.003890287021203763,,,0.0032280152709521334,,,0.007118302292155897,64,1.0,64,log
E[Hydrogen fuel cell]@100nmi_450kt_fan,oew_fan_b,0.19692198112504014,,,0.3168617999426361,,,0.11993981881759594,62,0.96875,64,log
E[Hydrogen fuel cell]@100nmi_450kt_fan,oew_fan_r_pivot,0.009746590753144118,,,0.025863818410596047,,,0.01611722765745193,62,0.96875,64,log
E[Hydrogen fuel cell]@100nmi_450kt_fan,eta_motor,0.04112827439159107,,,0.05287297345914355,,,0.011744699067552482,62,0.96875,64,log
E[Hydrogen fuel cell]@100nmi_450kt_fan,calibration_block,0.003988870292070424,,,0.0005461453900176902,,,-0.0034427249020527336,62,0.96875,64,log
E[Hydrogen fuel cell]@100nmi_450kt_fan,e_battery_Wh_per_kg,0.0,,,0.0,,,0.0,62,0.96875,64,log
E[Hydrogen fuel cell]@100nmi_450kt_fan,fuel_cell_specific_power_kW_per_kg,0.39009652982733684,,,0.6133679953029401,,,0.22327146547560323,62,0.96875,64,log
E[Hydrogen fuel cell]@100nmi_450kt_fan,eta_fuel_cell,0.10632911058293576,,,0.08198436195983333,,,-0.02434474862310243,62,0.96875,64,log
E[Hydrogen fuel cell]@100nmi_450kt_fan,liquid_hydrogen,0.004007294393361351,,,0.0012349219811107978,,,-0.0027723724122505535,62,0.96875,64,log
E[Hydrogen fuel cell]@100nmi_450kt_fan,e_saf,0.0,,,0.0,,,0.0,62,0.96875,64,log
E[Hydrogen fuel cell]@100nmi_450kt_fan,gamma_tank,0.0017426128144373161,,,0.0009766093169000123,,,-0.0007660034975373038,62,0.96875,64,log
E[Hydrogen fuel cell]@100nmi_450kt_fan,resto,-0.007514249705799543,,,0.002814805035625562,,,0.010329054741425104,62,0.96875,64,log
E[Hydrogen combustion]@100nmi_350kt_fan,oew_fan_b,0.6224974839069426,,,0.6351601740239076,,,0.01266269011696497,64,1.0,64,log
E[Hydrogen combustion]@100nmi_350kt_fan,oew_fan_r_pivot,0.14939872043377364,,,0.1400749749804351,,,-0.009323745453338528,64,1.0,64,log
E[Hydrogen combustion]@100nmi_350kt_fan,eta_motor,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@100nmi_350kt_fan,calibration_block,0.06437117773201184,,,0.06197694340021914,,,-0.0023942343317926995,64,1.0,64,log
E[Hydrogen combustion]@100nmi_350kt_fan,e_battery_Wh_per_kg,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@100nmi_350kt_fan,fuel_cell_specific_power_kW_per_kg,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@100nmi_350kt_fan,eta_fuel_cell,0.0,,,0.0,,,0.0,64,1.0,64,log
